Simulation Stats for User 1 | House 1 Bedroom 1 | Window 20260412_to_20260413
[User 1 | 2026-04-12 21:00] Sleep Phase=AWAKE Temp=23.00°C, Pres=0, HR=74.60bpm, Vib=0.0800g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:01] Sleep Phase=AWAKE Temp=23.00°C, Pres=0, HR=74.42bpm, Vib=0.1040g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:02] Sleep Phase=AWAKE Temp=23.00°C, Pres=0, HR=78.88bpm, Vib=0.1221g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:03] Sleep Phase=AWAKE Temp=23.00°C, Pres=0, HR=79.17bpm, Vib=0.1299g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:04] Sleep Phase=AWAKE Temp=23.00°C, Pres=0, HR=80.38bpm, Vib=0.1255g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:05] Sleep Phase=AWAKE Temp=22.99°C, Pres=0, HR=74.04bpm, Vib=0.1099g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:06] Sleep Phase=AWAKE Temp=22.99°C, Pres=0, HR=73.02bpm, Vib=0.0871g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:07] Sleep Phase=AWAKE Temp=22.99°C, Pres=0, HR=80.23bpm, Vib=0.0975g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:08] Sleep Phase=AWAKE Temp=22.98°C, Pres=0, HR=74.86bpm, Vib=0.1178g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:09] Sleep Phase=AWAKE Temp=22.98°C, Pres=0, HR=77.78bpm, Vib=0.1289g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:10] Sleep Phase=AWAKE Temp=22.98°C, Pres=0, HR=80.92bpm, Vib=0.1279g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:11] Sleep Phase=AWAKE Temp=22.97°C, Pres=0, HR=78.43bpm, Vib=0.1153g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:12] Sleep Phase=AWAKE Temp=22.97°C, Pres=0, HR=76.19bpm, Vib=0.0940g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:13] Sleep Phase=AWAKE Temp=22.96°C, Pres=0, HR=77.99bpm, Vib=0.0908g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:14] Sleep Phase=AWAKE Temp=22.96°C, Pres=0, HR=68.82bpm, Vib=0.1128g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:15] Sleep Phase=AWAKE Temp=22.95°C, Pres=0, HR=73.48bpm, Vib=0.1269g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:16] Sleep Phase=AWAKE Temp=22.95°C, Pres=0, HR=71.87bpm, Vib=0.1295g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
